ENSG00000000003	115	140	76	113	94	91	91	96
ENSG00000000005	0	0	0	0	0	0	0	0
ENSG00000000419	148	135	188	209	200	173	156	189
ENSG00000000457	20	43	10	5	15	31	23	28
ENSG00000000460	79	80	36	57	44	57	49	70
ENSG00000000938	1	0	0	0	1	0	0	0
ENSG00000000971	0	0	0	0	0	0	0	0
ENSG00000001036	228	237	174	175	192	233	151	204
ENSG00000001084	44	35	36	29	60	38	41	43
ENSG00000001167	85	96	46	45	44	56	63	51
ENSG00000001460	18	30	10	11	17	12	23	10
ENSG00000001461	147	201	100	87	82	110	98	88
ENSG00000001497	306	296	128	156	148	120	145	149
ENSG00000001561	18	33	21	28	24	15	24	36
ENSG00000001617	10	8	3	1	5	3	1	4
ENSG00000001626	0	0	0	0	0	0	0	0
ENSG00000001629	27	23	3	22	22	31	29	27
ENSG00000001630	2	0	1	0	1	8	4	1
ENSG00000001631	6	4	4	3	9	15	12	11
ENSG00000002016	18	13	3	10	8	1	8	6
ENSG00000002079	1	0	0	0	0	0	0	0
ENSG00000002330	106	105	57	61	60	70	46	89
ENSG00000002549	615	607	284	294	312	309	311	299
ENSG00000002586	0	0	0	0	0	0	0	0
ENSG00000002587	0	0	0	0	0	0	0	0
ENSG00000002726	0	0	0	0	0	0	0	0
ENSG00000002745	1	3	0	0	0	0	1	2
ENSG00000002746	0	0	0	0	0	0	0	0
ENSG00000002822	0	1	0	0	1	0	1	0
ENSG00000002834	334	327	133	160	157	193	198	234
ENSG00000002919	151	173	75	61	80	91	108	109
ENSG00000002933	0	0	0	0	0	0	0	0
ENSG00000003056	389	393	270	319	294	285	261	342
ENSG00000003096	3	3	1	0	0	0	0	1
ENSG00000003137	4	0	1	1	0	0	0	0
ENSG00000003147	0	3	0	0	1	1	0	0
ENSG00000003249	73	71	44	44	32	23	45	47
ENSG00000003393	74	80	56	47	70	51	44	67
ENSG00000003400	2	0	2	0	0	3	2	0
ENSG00000003402	125	124	40	67	64	55	60	64
ENSG00000003436	97	105	57	76	72	88	93	91
ENSG00000003509	43	43	23	38	28	39	29	45
ENSG00000003756	105	113	50	55	41	46	51	51
ENSG00000003987	4	6	2	5	3	2	5	7
ENSG00000003989	6	10	8	15	7	7	5	9
ENSG00000004059	129	126	64	54	90	68	78	71
ENSG00000004139	83	89	27	30	32	24	29	41
ENSG00000004142	554	633	253	340	314	319	347	385
ENSG00000004399	32	31	14	12	16	16	21	25
ENSG00000004455	485	486	306	248	318	366	334	389
ENSG00000004468	0	0	0	0	0	0	0	0
ENSG00000004478	479	574	311	308	332	338	341	370
ENSG00000004487	370	327	185	200	219	211	176	205
ENSG00000004534	63	46	35	14	32	45	34	33
ENSG00000004660	4	7	1	2	2	1	4	4
ENSG00000004700	224	228	180	203	191	209	195	208
ENSG00000004766	37	53	42	47	45	27	55	51
ENSG00000004776	1	0	0	0	0	0	1	0
ENSG00000004777	3	3	0	0	0	0	0	0
ENSG00000004779	163	202	156	137	163	156	115	140
ENSG00000004799	1	1	0	0	0	0	0	0
ENSG00000004809	0	0	0	0	0	0	0	0
ENSG00000004838	1	0	1	0	2	3	0	0
ENSG00000004846	0	0	0	0	0	0	0	0
ENSG00000004848	0	0	0	0	0	0	0	0
ENSG00000004864	67	68	41	48	26	40	55	43
ENSG00000004866	106	97	62	64	60	68	42	60
ENSG00000004897	185	245	182	176	190	211	210	194
ENSG00000004939	0	0	0	0	0	0	0	0
ENSG00000004948	0	0	0	0	0	0	0	0
ENSG00000004961	130	125	104	104	120	124	97	130
ENSG00000004975	145	165	68	69	93	72	94	88
ENSG00000005001	0	0	0	0	0	0	0	0
ENSG00000005007	194	179	72	83	95	126	105	100
ENSG00000005020	2	2	1	1	5	4	2	3
ENSG00000005022	1086	1240	646	658	704	704	699	761
ENSG00000005059	63	39	46	33	63	56	51	71
ENSG00000005073	0	0	0	0	0	1	0	0
ENSG00000005075	126	104	65	50	63	70	71	79
ENSG00000005100	15	22	6	5	6	11	15	11
ENSG00000005102	0	0	0	0	0	0	0	0
ENSG00000005108	0	0	0	0	0	0	0	0
ENSG00000005156	86	63	37	56	48	32	69	45
ENSG00000005175	58	47	57	60	63	58	40	57
ENSG00000005187	5	4	5	4	3	5	0	4
ENSG00000005189	13	17	16	13	11	6	7	9
ENSG00000005194	251	279	153	170	140	151	146	184
ENSG00000005206	17	8	2	8	6	10	5	10
